Id,conversation_text
1,"என்னது, app-u update பண்ணின பிறகு camera சரியா வேலை செய்யலையா? ரொம்ப frustrating-aa இருக்கு. Yesterday வரைக்கும் perfect-ஆ இருந்தது. சரி, restart பண்ணி பார்க்கலாம். இல்லைன்னா, service center-ku போக வேண்டியதுதான். But weekend plan-s எல்லாம் cancel பண்ண வேண்டி இருக்குமோன்னு confusion-nu தான் இருக்கு. வேற option ஏதும் இருக்கா nu யோசிச்சுப் பார்க்கிறேன்."
2,"Weekend-la என்ன பண்ணலாம்-nu யோசிச்சுட்டு இருக்கேன். Chennai-la traffic ரொம்ப hectic-aa இருக்குறதுனால outstation drive-ku போகலாம்னு தான் thinking-u. Pondicherry best choice-aa இருக்கும், right? இல்ல ஏதாவது new movie release-a இருக்குயா check பண்ணவா? அம்மா recipe book-la இருந்த பிரியாணி செஞ்சு family-ku surprise கொடுக்கலாம். ஆனா drive ரொம்ப fun-na இருக்கும், don't you think?"
3,"ஹேய், இந்த new phone-u வாங்குனதுக்கு அப்பறம் கொஞ்சம் confusion-nu இருக்கு. Camera quality awesome-aa இருக்கு, but settings எல்லாம் understand பண்ண முடியல. YouTube-la tutorials பார்க்கணும், இல்லனா friend கிட்ட help கேட்கணும். சரி, lunch break-u இன்னும் கொஞ்ச நேரத்துல வருது. சாப்பாடு order பண்ணலாமா-aa? Today special என்னன்னு check பண்ணனும் nu தோணுது. Maybe biryani order pannikurava-aa?"
4,"அடேங்கப்பா, இந்த new phone-u வாங்கினதுக்கு அப்பறம் battery life ரொம்ப கஷ்டமா இருக்கு. சார்ஜ் barely 4 hours-u nikkuthu! Seriously confusion-nu இருக்கு. நான் என்ன பண்ணப் போறேன்னு தெரியல-aa? சரி, விடுங்க, இன்னைக்கு evening gym-ku போகலாம்னு இருக்கேன். Workout செஞ்சா கொஞ்சம் tension తగ్றது மாதிரி இருக்கு. போயிட்டு வந்து ஒரு juice குடிக்கலாம்-u."
5,"வேலை ரொம்ப கஷ்டமா இருக்கு today-u! Client call-la நிறைய confusion-nu இருந்தது.  இந்த project-ku deadline ரொம்ப close-ah இருக்கு, முடியுமான்னு தெரியல. கொஞ்சம் tension-aa இருக்கு but கண்டிப்பா try பண்ணுவேன்-u. Evening gym-ku போகலாம்னு இருக்கேன், கொஞ்சம் refresh ஆகும். After that ஒரு சாப்பாடு order பண்ணி eat பண்ணலாம்-u. என்ன சொல்றீங்க?"
6,"ஹலோ! இந்த app-u download பண்ணினதுக்கு அப்பறம், signal கொஞ்சம் weak-aa இருக்கு. நெட்வொர்க் சரியா கிடைக்கல.  சரி, வேற option பாக்கலாம்-u. ஒரு chance இருந்தா, data plan கொஞ்சம் upgrade பண்ணலாமா-nu யோசிக்கிறேன். இல்லனா wi-fi hot spot-la connect பண்ணி வேலை செய்யணும். கொஞ்சம் confusion-aa இருக்கு, ஆனா problem solve பண்ணிடலாம் correct-u?"
7,"அடேங்கப்பா! இந்த phone-u சார், completely hang ஆயிடுச்சு! அடிக்கடி restart ஆகுது. Data backup எடுக்கணும்னு நினைச்சேன், but நேரமே கிடைக்கல.  ஆனா next week ஊருக்குப் போகணும், ticket book செஞ்சிட்டேன்-u. Mama house-la சாப்பாடு செம்ம இருக்கும்! அப்புறம், evening friends-la ஒரு movie plan பண்ணலாம்-aa? புது release வந்திருக்கேன்னு கேள்விப்பட்டேன்."
8,"அடப்பாவி! இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப down-aa இருக்கு. சார்ஜ் போட்டா two hours-la தீர்ந்து போகுது! Seriously frustration-nu இருக்கு. app settings எல்லாம் check பண்ணிட்டேன், எதுவும் correct-aa இல்லையே. engineer-ku phone பண்ணட்டுமா? இல்லை service center-ku direct-a போலாமா? யோசிச்சு பார்க்கிறேன், ரொம்ப headache-u."
9,"ஹேய், இந்த new phone-u வாங்குனதுக்கு அப்புறம் கொஞ்சம் confusion-nu இருக்கு. Camera quality சூப்பரா இருக்கு, but battery life ரொம்ப less-aa போகுது! சார்ஜ் பண்ணிக்கிட்டே இருக்கணும்.  நாளைக்கு travel-ku போறதுக்கு முன்னாடி power bank வாங்கணும். இல்லனா problem-aa இருக்கும். சரி, முடிஞ்சா இன்னைக்கு evening கொஞ்சம் rest எடுக்கலாம்-u."
10,"அடப்பாவி! இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப கம்மியா இருக்கு. சார்ஜ் பண்ணா immediately down-aa போகுது. Seriously confusion-nu இருக்கு. Flipkart-la return பண்ணலாமா-aa? இல்ல local service center-ku போறது best-u. சரி, முதல்ல சார்ஜ் full பண்ணி பாக்குறேன்… அதுக்கப்புறம் decide பண்ணலாம். என்ன செய்யறது-nu யோசிச்சுட்டே இருக்கேன்."
11,"டேய், இந்த app-u update பண்ணினதுக்கு அப்புறம் ரொம்ப slow-aa இருக்கு. Totally useless-a போச்சு!  முன்னாடி fast-ஆ வேலை செஞ்சது, இப்போ loading-la time எடுத்துக்குது. Data pack ஏதும் waste-ஆகுதான்னு check பண்ணனும்.  சரி, அம்மாவுக்கு call பண்ணி சாப்பாடு ready-aaன்னு கேக்கலாம். Evening movie-ku போகலாம்னு இருக்கேன், என்ன படம் பார்க்கிறதுன்னு யோசிச்சுட்டு இருக்கேன். Correct-u?"
12,"அடேங்கப்பா, இந்த app-u update பண்ணினதுக்கு அப்புறம் ரொம்ப slow-ஆ இருக்கு! Seriously frustrating-aa இருக்கு. முன்னாடி எல்லாம் smooth-ஆ run ஆகும்.  சரி விடு, வேற வழி இல்ல. Weekend-la ஊருக்குப் போகலாம்னு இருக்கேன். Train ticket book பண்ணனும். அம்மா சாப்பாடு சாப்பிட ரொம்ப miss-u ஆகுது! Finally கொஞ்சம் peace-a இருக்கும்னு நினைக்கிறேன்."
13,"அட, இந்த app-u update பண்ணினதுக்கு அப்புறம் ரொம்ப slow-ஆ இருக்கு! என்னடா இது, seriously? முன்னாடி வேகமா work ஆகும்.  சரி, Google-la search பண்ணிப் பார்ப்போம் problem என்னனு. இல்லனா வேற app download பண்ண வேண்டியது தான்-u, ரொம்ப frustration-aa இருக்கு. இந்த technology-யும் சில சமயம் headache கொடுக்குது-u! ஏதோ ஒரு solution கண்டுபிடிக்கணும், correct-nu?"
14,"டேய், இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life சுத்தமா இல்ல. சார்ஜ் போடுறதுக்குள்ளே நேரம் ஆயிடும்.  நேத்து movie-ku போகலாம்னு plan பண்ணோம், ஆனா traffic-la மாட்டிக்கிட்டோம். சீக்கிரம் booking செஞ்சிருக்கணும்னு தோணுது, next time online-la book பண்ணலாம்nu நெனச்சுட்டு இருக்கேன். ரொம்ப tension-aa இருக்கு, chill பண்ணனும்-u. சரி, lunch break-la சாப்பாடு order பண்ணிடலாம்!"
15,"அடப்பாவி! இந்த phone-u சார்ஜ் ஆகவே மாட்டேங்குது nu solraan. ரொம்ப frustration-aa இருக்கு!  நேத்து battery வாங்கியது ஞாபகம் இருக்கா? அது கூட useless-aa போச்சு.  சரி, வேற சார்ஜர் தேடிப் பார்ப்போம். இல்லைன்னா, veetu-ku போய் power bank connect பண்ணி use பண்றது தான் option-u. ரொம்ப tension-aa இருக்கு da!"
16,"டேய், இந்த new phone-u வாங்குனதுல கொஞ்சம் confusion-nu இருக்கு. Camera quality superb-aa இருக்கு, but battery life ரொம்ப worst-u! சார்ஜ் பண்ணி கொஞ்ச நேரத்துலேயே down ஆயிடுது. App support சரியானா நல்லா இருக்கும். சரி, weekend-la Chennai-ku trip plan பண்ணலாம்னு இருக்கேன். நீ வர்றியா? Beach-la chill பண்ணலாம், சூப்பரா இருக்கும்னு தோணுது. சொல்லு, okay-na?"
17,"அடேங்கப்பா, இந்த phone-u சார்ஜ் ஏறவே மாட்டேங்குது! Battery ரொம்ப weak-aa இருக்குற மாதிரி தெரியுது.  நேத்து night முழுசா game விளையாடினேன்-nu நினைக்கிறேன் அதுதான் காரணமா இருக்குமோ. சரி, ஒரு power bank தேடலாம். இல்லன்னா, tomorrow office-la சார்ஜ் போடணும். வேற வழி இல்லை-u. கொஞ்சம் confuse-aa இருக்கு என்ன பண்ணலாம்னு, ஆனா கண்டிப்பா சார்ஜ் ஆகணும்."
18,"அட, phone-u சார்ஜ் ஆகலையே! சார்ஜர் cable எங்கயோ போச்சு. ரொம்ப frustration-aa இருக்கு. Appadi na, இன்னைக்கு evening movie-க்கு போகலாம்னு plan பண்ணியிருந்தேன். ‘லியோ’ நல்லா இருக்குன்னு சொல்றாங்க, book-u பண்ணிட்டேனான்னு check பண்ணனும். Mama-va கூப்பிடட்டுமா-nu யோசிக்கிறேன், available-aa இருந்தா நல்லா இருக்கும். Lunch break-la சாப்பாடு order பண்ணிட்டு வந்துடறேன்-u."
19,"அடப்பாவி! இந்த phone-u சார்ஜ் ஆகவே மாட்டேங்குது. Battery ரொம்ப down-aa இருக்கு!  இனிமே power bank வாங்கணும், இல்லன்னா சார்ஜ்-la இருக்கறது ரொம்ப problem-nu தோணுது. Chennai trip-ku போறதுக்கு முன்னாடி fix பண்ணனும், இல்லன்னா completely confused ஆகிடுவேன். Seriously, இது irritating-u! ஏதாவது solution இருக்கா-nu google பண்ணி பார்க்கிறேன். Correct-aa?"
20,"அடேங்கப்பா! இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life சுத்தமா இல்லீங்க. சார்ஜ் போட்டா two hours-la தீர்ந்துடுது! ரொம்ப frustration-aa இருக்கு. கடைக்கு போகலாமா, refund கேக்க? இல்லை service center-u try பண்ணலாம்னு தோணுது. என்ன பண்றதுன்னே confusion-nu இருக்கு. நீ ஏதாவது suggestion குடுக்க முடியுமா?"
